fecha,lunes,martes,miercoles,jueves,viernes,sabado,domingo
2/01/2023,39,0,0,0,0,0,0
3/01/2023,0,25,0,0,0,0,0
4/01/2023,0,0,42,0,0,0,0
5/01/2023,0,0,0,45,0,0,0
6/01/2023,0,0,0,0,50,0,0
7/01/2023,0,0,0,0,0,45,0
8/01/2023,0,0,0,0,0,0,43
9/01/2023,24,0,0,0,0,0,0
10/01/2023,0,28,0,0,0,0,0
11/01/2023,0,0,74,0,0,0,0
12/01/2023,0,0,0,28,0,0,0
13/01/2023,0,0,0,0,38,0,0
14/01/2023,0,0,0,0,0,44,0
15/01/2023,0,0,0,0,0,0,36
16/01/2023,27,0,0,0,0,0,0
17/01/2023,0,115,0,0,0,0,0
18/01/2023,0,0,37,0,0,0,0
19/01/2023,0,0,0,31,0,0,0
20/01/2023,0,0,0,0,25,0,0
21/01/2023,0,0,0,0,0,35,0
22/01/2023,0,0,0,0,0,0,22
23/01/2023,29,0,0,0,0,0,0
24/01/2023,0,26,0,0,0,0,0
25/01/2023,0,0,47,0,0,0,0
26/01/2023,0,0,0,35,0,0,0
27/01/2023,0,0,0,0,94,0,0
28/01/2023,0,0,0,0,0,40,0
29/01/2023,0,0,0,0,0,0,25
30/01/2023,34,0,0,0,0,0,0
31/01/2023,0,27,0,0,0,0,0
1/02/2023,0,0,59,0,0,0,0
2/02/2023,0,0,0,36,0,0,0
3/02/2023,0,0,0,0,29,0,0
4/02/2023,0,0,0,0,0,39,0
5/02/2023,0,0,0,0,0,0,33
6/02/2023,31,0,0,0,0,0,0
7/02/2023,0,42,0,0,0,0,0
8/02/2023,0,0,53,0,0,0,0
9/02/2023,0,0,0,27,0,0,0
10/02/2023,0,0,0,0,79,0,0
11/02/2023,0,0,0,0,0,47,0
12/02/2023,0,0,0,0,0,0,29
13/02/2023,45,0,0,0,0,0,0
14/02/2023,0,36,0,0,0,0,0
15/02/2023,0,0,42,0,0,0,0
16/02/2023,0,0,0,53,0,0,0
17/02/2023,0,0,0,0,37,0,0
18/02/2023,0,0,0,0,0,37,0
19/02/2023,0,0,0,0,0,0,22
20/02/2023,45,0,0,0,0,0,0
21/02/2023,0,29,0,0,0,0,0
22/02/2023,0,0,40,0,0,0,0
23/02/2023,0,0,0,34,0,0,0
24/02/2023,0,0,0,0,38,0,0
25/02/2023,0,0,0,0,0,56,0
26/02/2023,0,0,0,0,0,0,50
27/02/2023,27,0,0,0,0,0,0
28/02/2023,0,41,0,0,0,0,0
1/03/2023,0,0,71,0,0,0,0
2/03/2023,0,0,0,53,0,0,0
3/03/2023,0,0,0,0,43,0,0
4/03/2023,0,0,0,0,0,48,0
5/03/2023,0,0,0,0,0,0,30
6/03/2023,28,0,0,0,0,0,0
7/03/2023,0,47,0,0,0,0,0
8/03/2023,0,0,58,0,0,0,0
9/03/2023,0,0,0,43,0,0,0
10/03/2023,0,0,0,0,49,0,0
11/03/2023,0,0,0,0,0,28,0
12/03/2023,0,0,0,0,0,0,30
13/03/2023,33,0,0,0,0,0,0
14/03/2023,0,45,0,0,0,0,0
15/03/2023,0,0,39,0,0,0,0
16/03/2023,0,0,0,29,0,0,0
17/03/2023,0,0,0,0,62,0,0
18/03/2023,0,0,0,0,0,45,0
19/03/2023,0,0,0,0,0,0,25
20/03/2023,43,0,0,0,0,0,0
21/03/2023,0,74,0,0,0,0,0
22/03/2023,0,0,68,0,0,0,0
23/03/2023,0,0,0,57,0,0,0
24/03/2023,0,0,0,0,32,0,0
25/03/2023,0,0,0,0,0,54,0
26/03/2023,0,0,0,0,0,0,47
27/03/2023,45,0,0,0,0,0,0
28/03/2023,0,69,0,0,0,0,0
29/03/2023,0,0,57,0,0,0,0
30/03/2023,0,0,0,61,0,0,0
31/03/2023,0,0,0,0,38,0,0
1/04/2023,0,0,0,0,0,31,0
2/04/2023,0,0,0,0,0,0,30
3/04/2023,37,0,0,0,0,0,0
4/04/2023,0,64,0,0,0,0,0
5/04/2023,0,0,27,0,0,0,0
6/04/2023,0,0,0,64,0,0,0
7/04/2023,0,0,0,0,45,0,0
8/04/2023,0,0,0,0,0,102,0
9/04/2023,0,0,0,0,0,0,40
10/04/2023,45,0,0,0,0,0,0
11/04/2023,0,32,0,0,0,0,0
12/04/2023,0,0,46,0,0,0,0
13/04/2023,0,0,0,39,0,0,0
14/04/2023,0,0,0,0,63,0,0
15/04/2023,0,0,0,0,0,47,0
16/04/2023,0,0,0,0,0,0,50
17/04/2023,42,0,0,0,0,0,0
18/04/2023,0,47,0,0,0,0,0
19/04/2023,0,0,33,0,0,0,0
20/04/2023,0,0,0,52,0,0,0
21/04/2023,0,0,0,0,62,0,0
22/04/2023,0,0,0,0,0,51,0
23/04/2023,0,0,0,0,0,0,38
24/04/2023,19,0,0,0,0,0,0
25/04/2023,0,40,0,0,0,0,0
26/04/2023,0,0,63,0,0,0,0
27/04/2023,0,0,0,51,0,0,0
28/04/2023,0,0,0,0,36,0,0
29/04/2023,0,0,0,0,0,42,0
