N,lunes,martes,miercoles,jueves,viernes,sabado,domingo
1,726,780,960,838,954,1015,1369
2,1751,1891,706,1097,804,1147,1705
3,2673,640,574,642,195,1398,2812
4,2243,795,932,1015,849,1218,2321
5,2003,1817,853,870,682,1245,1114
6,2039,871,924,1106,929,1164,1264
7,3021,681,964,886,909,612,1427
8,1627,830,838,1018,882,644,1951
9,791,758,963,966,757,1012,1264
10,860,662,810,869,914,950,1677
11,796,677,934,788,905,1099,1612
12,762,695,796,1121,854,1046,1464
13,774,720,889,1680,906,529,1438
14,739,707,661,1289,690,475,1407
15,757,660,1232,1456,785,602,1280
16,748,480,917,1233,865,1056,1407
17,778,775,833,957,970,1144,1280
18,731,650,863,1002,954,1142,1298
19,716,630,1001,1015,735,1337,783
20,804,734,807,711,1021,1067,1184
21,817,667,674,762,1205,782,1065
22,679,669,846,803,983,1098,1017
23,755,605,1552,901,826,999,983
24,682,623,586,898,1044,1271,1048
25,799,486,984,890,768,877,911
26,768,427,815,834,783,1208,1002
27,856,1014,878,1009,794,519,964
28,1965,767,828,988,957,1294,
29,1950,853,801,942,943,1253,
30,1033,825,871,959,1463,1204,
31,653,740,697,776,996,1280,
32,642,762,787,873,900,1113,
33,675,690,727,759,894,1114,
34,588,,725,853,800,1114,
35,851,,849,721,866,,
36,635,,,,1032,,
37,,,,,149,,
